RANK,TIERS,PLAYER,TEAM,UPSIDE,BUST,SOS SEASON,ECR VS. ADP,AVG_DIFF,PCT_OVER,POSITION,POS_RANK,BYE_WEEK,ESPN,Sleeper,CBS,NFL,RTSports,Fantrax,ADP_AVG,ADP_REALTIME,PASS_ATT,PASS_CMP,PASS_YDS,PASS_TDS,PASS_INTS,RUSH_ATT,RUSH_YDS,RUSH_TDS,FL,FPTS,REC,REC_YDS,REC_TDS,K_FG,K_FGA,K_XPT,DST_SACK,DST_INT,DST_FR,DST_FF,DST_TD,DST_SAFETY,DST_PA,DST_YDS_AGN,2024_PASS_CMP,2024_PASS_ATT,2024_PASS_PCT,2024_PASS_YDS,2024_PASS_YA,2024_PASS_TD,2024_PASS_INT,2024_PASS_SACKS,2024_RUSH_ATT,2024_RUSH_YDS,2024_RUSH_TD,2024_FL,2024_G,2024_FPTS,2024_FPTS_PER_G,2024_ROST,2024_RUSH_YA,2024_RUSH_LG,2024_RUSH_20PLUS,2024_REC_TGT,2024_REC,2024_REC_YDS,2024_REC_YR,2024_REC_TD,2024_REC_LG,2024_REC_20PLUS,2024_K_FG,2024_K_FGA,2024_K_FG_PCT,2024_K_FG_LG,2024_K_FG_1_19,2024_K_FG_20_29,2024_K_FG_30_39,2024_K_FG_40_49,2024_K_FG_50PLUS,2024_K_XPT,2024_K_XPA,2024_DST_SACK,2024_DST_INT,2024_DST_FR,2024_DST_FF,2024_DST_DEF_TD,2024_DST_SFTY,2024_DST_SPC_TD
219,11,Kareem Hunt,KC,1,5,4,-37,0.7,53% (7/13),RB,68,10,265,180,213,205,160,215,206.3,184  +12,,,,,,80.8,323.1,3.3,0.1,71.8,21.3,149.2,0.8,,,,,,,,,,,,,,,,,,,,200,728,7,0,13,132.4,10.2,46.30%,3.6,20,1,32,23,176,7.7,0,,,,,,,,,,,,,,,,,,,,
220,11,Chris Boswell,PIT,4,2,2,27,3.5,62% (10/16),K,8,5,146,133,201,67,205,194,157.7,130  +25,,,,,,,,,,126.1,,,,30.2,33.7,35.5,,,,,,,,,,,,,,,,,,,,,17,191,11.2,88.90%,,,,,,,,,,,41,44,93.2,57,0,9,12,7,13,35,35,,,,,,,
221,11,Pat Freiermuth,PIT,2,4,5,-24,0.9,50% (8/16),TE,26,5,196,213,,176,238,195,203.6,224  -14,,,,,,,,,0.9,67.4,50.9,488.4,3.4,,,,,,,,,,,,,,,,,,,,0,0,0,2,17,103.3,6.1,8.90%,,,,78,65,653,10,7,30,7,,,,,,,,,,,,,,,,,,
222,11,Evan McPherson,CIN,1,4,4,20,0.1,50% (6/12),K,9,10,198,182,186,186,244,232,204.7,189  +5,,,,,,,,,,125.5,,,,26.2,32.6,46.9,,,,,,,,,,,,,,,,,,,,,12,94,7.8,24.30%,,,,,,,,,,,16,22,72.7,56,0,6,4,3,3,37,38,,,,,,,
223,11,Adonai Mitchell,IND,4,4,2,45,-2.5,18% (3/16),WR,78,11,,251,,367,,248,288.7,279  +27,,,,,,2.9,9.5,0.1,0.4,78.8,28.3,371,2.2,,,,,,,,,,,,,,,,,,,,4,6,0,1,17,53.8,3.2,1.60%,,,,55,23,312,13.6,0,36,4,,,,,,,,,,,,,,,,,,
224,11,Justice Hill,BAL,1,4,2,-41,1.7,53% (8/15),RB,69,7,,243,,231,174,224,218,250  -12,,,,,,41.9,185.3,1.2,0.4,56.6,27.3,221.2,1.7,,,,,,,,,,,,,,,,,,,,47,228,1,0,15,85.1,5.7,13.40%,4.9,51,2,51,42,383,9.1,3,,,,,,,,,,,,,,,,,,,,
225,11,Andrei Iosivas,CIN,1,5,3,61,0.5,50% (8/16),WR,79,10,,291,,264,,266,273.7,265  +28,,,,,,0,0,0,0.1,90.9,31.2,379.2,3.7,,,,,,,,,,,,,,,,,,,,0,0,0,0,17,119.9,7.1,1.40%,,,,61,36,479,13.3,6,39,7,,,,,,,,,,,,,,,,,,
226,11,Jake Elliott,PHI,2,4,3,12,0.5,56% (9/16),K,10,9,141,144,180,135,195,207,167,173  -11,,,,,,,,,,134.2,,,,29.3,34.2,46.4,,,,,,,,,,,,,,,,,,,,,17,141,8.3,51.10%,,,,,,,,,,,28,36,77.8,50,0,9,10,8,1,47,48,,,,,,,
227,11,Tyler Bass,BUF,1,3,4,-3,0.9,50% (8/16),K,11,7,138,159,156,143,224,187,167.8,181  -18,,,,,,,,,,133.4,,,,27.4,32.9,51.3,,,,,,,,,,,,,,,,,,,,,17,146,8.6,27.70%,,,,,,,,,,,24,29,82.8,61,0,6,7,7,4,59,64,,,,,,,
228,11,Miles Sanders,DAL,3,4,3,-6,-1.5,20% (2/10),RB,70,10,,253,,279,221,223,244,245  +9,,,,,,92.8,342.5,2,0.5,53.7,10,61.9,0.3,,,,,,,,,,,,,,,,,,,,55,205,2,0,11,53.3,4.8,1.70%,3.7,26,1,30,24,148,6.2,1,,,,,,,,,,,,,,,,,,,,
229,11,Jaylin Noel,HOU,4,4,3,2,-,-,WR,80,6,494,262,,342,234,213,309,252  +6,,,,,,0,13,0,0,56.7,21.8,251.2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,11,New York Jets,NYJ,2,3,4,14,-1.2,31% (5/16),DST,15,9,,,,,,,230,,,,,,,,,,,98.7,,,,,,,43.4,12.1,9.6,14.6,1.8,0.5,388.6,"5,385.20",,,,,,,,,,,,,17,95,5.6,10.60%,,,,,,,,,,,,,,,,,,,,,,43,7,10,14,0,0,1
231,11,Dalton Schultz,HOU,1,4,3,-18,-1.1,31% (5/16),TE,27,6,354,242,,216,252,233,259.4,228  +1,,,,,,,,,0.4,68.6,48.8,503.8,3.2,,,,,,,,,,,,,,,,,,,,0,0,0,0,17,65.2,3.8,30.10%,,,,85,53,532,10,2,32,5,,,,,,,,,,,,,,,,,,
232,11,Isaac TeSlaa,DET,4,4,3,-14,-,-,WR,81,8,212,197,,219,177,268,214.6,200  +16,,,,,,0,0,0,0.1,79.6,28.4,375.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,11,Calvin Austin III,PIT,3,4,4,41,1.6,43% (7/16),WR,82,5,,268,,282,267,245,265.5,,,,,,,2.3,11.8,0.1,0.5,117,41,547.6,3.5,,,,,,,,,,,,,,,,,,,,0,0,0,1,17,118.8,7,9.10%,,,,58,36,548,15.2,4,55,10,,,,,,,,,,,,,,,,,,
234,11,Tahj Brooks,CIN,4,4,3,-7,-,-,RB,71,10,,237,185,431,228,255,267.2,271  -38,,,,,,66.1,266.1,2.1,1,51.8,12.4,103.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,11,Jack Bech,LV,4,4,2,-61,-,-,WR,83,8,,219,,242,225,225,227.8,215  +28,,,,,,0,2.5,0,0,53.4,20,243.1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,11,Dontayvion Wicks,GB,2,4,3,15,-1.1,25% (4/16),WR,84,5,374,322,,331,,237,316,,,,,,,0,1.3,0,0,75.8,25.6,321.4,3,,,,,,,,,,,,,,,,,,,,0,0,0,0,17,110.5,6.5,2.80%,,,,76,39,415,10.6,5,36,4,,,,,,,,,,,,,,,,,,
237,11,Juwan Johnson,NO,4,4,3,-5,-0.1,50% (8/16),TE,28,11,,303,,280,,254,279,,,,,,,,,,0.2,67.4,47,486.4,3.2,,,,,,,,,,,,,,,,,,,,0,0,0,0,17,72.8,4.3,29.70%,,,,66,50,548,11,3,30,8,,,,,,,,,,,,,,,,,,
238,11,Dont'e Thornton Jr.,LV,4,4,2,-13,-,-,WR,85,8,255,179,,266,187,227,222.8,191  +27,,,,,,0,2,0,0.1,69.4,24.9,324.6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,11,MarShawn Lloyd,GB,3,4,4,14,-0.6,33% (1/3),RB,72,5,,282,,315,,242,279.7,256  +44,,,,,,87.5,313.9,2.5,0.4,58.3,11,88.3,0.6,,,,,,,,,,,,,,,,,,,,6,15,0,0,1,1.8,1.8,1.80%,2.5,5,0,1,1,3,3,0,,,,,,,,,,,,,,,,,,,,
240,11,Tory Horton,SEA,4,3,3,1,-,-,WR,86,8,478,230,,325,207,267,301.4,223  +32,,,,,,1,8,0,1,98.8,36.8,485.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,11,Matt Gay,WAS,5,2,4,46,1.2,73% (11/15),K,12,12,182,,153,180,237,214,193.2,236  -30,,,,,,,,,,137.2,,,,29.9,35.3,47.4,,,,,,,,,,,,,,,,,,,,,16,139,8.7,18.70%,,,,,,,,,,,31,37,83.8,56,0,9,12,7,3,33,33,,,,,,,
242,11,Elijah Arroyo,SEA,4,4,2,-13,-,-,TE,29,8,,214,,272,229,211,231.5,262  -16,,,,,,,,,0.4,58.6,40,424.1,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,11,Dameon Pierce,HOU,3,4,3,24,-0.3,20% (2/10),RB,73,6,,,,285,227,314,275.3,264  +32,,,,,,38.1,183.3,1.2,0.8,29.9,7.6,50.7,0.2,,,,,,,,,,,,,,,,,,,,40,293,2,0,11,41.5,3.8,3.60%,7.3,92,2,4,2,2,1,0,,,,,,,,,,,,,,,,,,,,
244,11,Dyami Brown,JAC,2,4,2,33,-0.3,40% (6/15),WR,87,8,,273,,377,274,247,292.8,,,,,,,0.7,6.8,0,0.5,96.1,35.7,455,2.5,,,,,,,,,,,,,,,,,,,,3,26,0,1,15,67.4,4.5,2.10%,,,,40,30,308,10.3,1,51,5,,,,,,,,,,,,,,,,,,
245,11,Ja'Tavion Sanders,CAR,4,2,2,-24,-0.2,46% (7/15),TE,30,14,353,270,,275,275,257,286,248  -6,,,,,,,,,0.1,58.5,44.2,442.4,2.4,,,,,,,,,,,,,,,,,,,,0,0,0,0,16,40.2,2.5,2.00%,,,,43,33,342,10.4,1,46,6,,,,,,,,,,,,,,,,,,
246,11,Daniel Jones,IND,3,4,1,-32,-1.8,40% (4/10),QB,29,11,,329,160,313,,251,263.3,233  +28,441.6,275.9,"2,881.90",17.2,9.9,92.2,408.4,3.4,3.4,228.7,,,,,,,,,,,,,,,216,341,63.3,"2,070",6.1,8,7,29,67,265,2,2,10,142.3,14.2,65.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,11,Tyler Lockett,LV,2,4,2,-1,-2,31% (5/16),WR,88,8,,232,,238,,256,242,205  +79,,,,,,0,0,0,0.1,126.2,49.2,570.3,3.4,,,,,,,,,,,,,,,,,,,,0,0,0,0,17,121,7.1,2.50%,,,,74,49,600,12.2,2,37,7,,,,,,,,,,,,,,,,,,
248,11,Jarquez Hunter,LAR,4,4,3,-33,-,-,RB,74,8,,260,,522,202,244,307,277  +4,,,,,,61.6,250.9,2,0.7,44.4,7.1,61.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,11,Sean Tucker,TB,4,3,3,40,1.9,40% (6/15),RB,75,9,,,,320,259,275,284.7,269  +36,,,,,,45.2,232.1,1.4,0.7,36.3,5.3,41,0.4,,,,,,,,,,,,,,,,,,,,50,308,2,0,17,59.7,3.5,4.90%,6.2,36,2,12,9,109,12.1,1,,,,,,,,,,,,,,,,,,,,
250,11,Younghoe Koo,NYG,2,4,3,53,0.6,53% (8/15),K,13,14,194,164,195,172,268,272,210.8,225  -28,,,,,,,,,,126,,,,28,34.3,42.1,,,,,,,,,,,,,,,,,,,,,14,120,8.6,19.80%,,,,,,,,,,,25,34,73.5,58,0,7,5,7,6,26,26,,,,,,,
251,11,Roman Wilson,PIT,3,3,4,3,-,-,WR,89,5,,297,,357,246,333,308.3,260  +22,,,,,,0,0,0,0.1,83.4,30.3,378.5,2.6,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,1.60%,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
252,12,Brashard Smith,KC,4,4,4,-44,-,-,RB,76,10,,264,,373,230,228,273.8,251  +16,,,,,,14.4,91.4,0.6,0,21.8,8.5,63.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,12,Jalen McMillan,TB,2,5,4,-36,1.6,46% (6/13),WR,90,9,,246,,234,,284,254.7,227  +61,,,,,,1.4,12.2,0,0.4,54.5,18,222.6,2.3,,,,,,,,,,,,,,,,,,,,4,43,0,0,13,135.4,10.4,3.80%,,,,58,37,461,12.5,8,33,8,,,,,,,,,,,,,,,,,,
254,12,Theo Johnson,NYG,4,4,3,-14,0,41% (5/12),TE,31,14,,283,,292,,263,279.3,273  +26,,,,,,,,,0.1,67.3,46.5,507.7,2.8,,,,,,,,,,,,,,,,,,,,0,0,0,0,12,39.1,3.3,37.10%,,,,43,29,331,11.4,1,35,4,,,,,,,,,,,,,,,,,,
255,12,Devin Neal,NO,3,4,3,-7,-,-,RB,77,11,,275,,731,,273,426.3,,,,,,,53.6,247.8,1.7,0.1,43.3,8.3,61.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,12,Russell Wilson,NYG,2,4,4,-55,1.4,50% (5/10),QB,30,14,238,281,,225,,212,239,274  -24,418.8,268.1,"2,848.50",15.1,7.6,49.8,212.1,1.9,2.6,193.8,,,,,,,,,,,,,,,214,336,63.7,"2,482",7.4,16,5,33,43,155,2,4,11,177.8,16.2,2.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,12,Raheem Mostert,LV,1,5,3,0,-1.2,41% (5/12),RB,78,8,,239,193,247,232,231,228.4,247  -27,,,,,,77.2,278.3,2.4,0.8,56.1,16.3,121,0.6,,,,,,,,,,,,,,,,,,,,85,278,2,2,13,51.9,4,1.70%,3.3,21,1,23,19,161,8.5,0,,,,,,,,,,,,,,,,,,,,
258,12,Tampa Bay Buccaneers,TB,3,4,5,-24,-0.2,37% (6/16),DST,16,9,,,,,,,258,,,,,,,,,,,102.9,,,,,,,44.2,11.8,11,16.7,2,0.5,374.6,"5,713.40",,,,,,,,,,,,,17,104,6.1,29.80%,,,,,,,,,,,,,,,,,,,,,,46,7,11,15,1,1,1
259,12,Harold Fannin Jr.,CLE,3,3,4,-14,-,-,TE,32,9,267,298,,432,256,309,312.4,,,,,,,,,,0.4,40.2,30.7,303.4,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,12,Jalen Royals,KC,4,4,2,-11,-,-,WR,91,10,401,258,,446,,241,336.5,268  +27,,,,,,0,2.5,0,0,36.5,13.8,155.4,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,12,Cole Kmet,CHI,1,5,3,9,0.2,37% (6/16),TE,33,5,226,313,,227,,236,250.5,266  -9,,,,,,,,,0.4,40.1,28.4,272.7,2.3,,,,,,,,,,,,,,,,,,,,0,0,0,0,17,73.4,4.3,3.50%,,,,55,47,474,10.1,4,31,7,,,,,,,,,,,,,,,,,,
262,12,Malik Washington,MIA,3,4,3,60,0.4,45% (5/11),WR,92,12,,,,387,270,316,324.3,,,,,,,2,13.8,0.1,0.6,72.8,30,313,1.8,,,,,,,,,,,,,,,,,,,,5,25,1,1,14,54.8,3.9,18.60%,,,,36,26,223,8.6,0,20,2,,,,,,,,,,,,,,,,,,
263,12,Kayshon Boutte,NE,3,4,3,29,1,53% (8/15),WR,93,14,,373,,382,249,307,327.8,,,,,,,0,0,0,0.1,90.6,31.9,428.1,2.7,,,,,,,,,,,,,,,,,,,,0,0,0,0,15,121.9,8.1,30.90%,,,,68,43,589,13.7,3,48,11,,,,,,,,,,,,,,,,,,
264,12,Kenneth Gainwell,PIT,5,4,2,26,-0.1,50% (8/16),RB,79,5,,,,274,226,468,322.7,,,,,,,59.5,229.6,1.6,0.4,43.3,12.7,89.7,0.4,,,,,,,,,,,,,,,,,,,,75,290,1,0,17,46.6,2.7,42.60%,3.9,20,1,22,16,116,7.3,0,,,,,,,,,,,,,,,,,,,,
265,12,Devaughn Vele,NO,3,4,3,-,1.2,50% (6/12),WR,94,11,,,,386,,274,330,,,,,,,0,1.7,0,0.2,66.6,27.5,292,1.7,,,,,,,,,,,,,,,,,,,,0,0,0,0,13,106.5,8.2,0.60%,,,,55,41,475,11.6,3,37,7,,,,,,,,,,,,,,,,,,
266,12,Joe Flacco,CIN,4,4,4,-30,0.3,25% (3/12),QB,31,10,253,327,,261,272,281,278.8,,418.4,263,"2,756.10",14.1,11.3,15.2,43.5,0.4,3.8,155,,,,,,,,,,,,,,,162,248,65.3,"1,761",7.1,12,7,18,9,26,0,4,7,106.2,15.2,46.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,12,Nick Westbrook-Ikhine,MIA,1,5,3,-,2.5,50% (7/14),WR,95,12,,,,299,,318,308.5,,,,,,,0,1.3,0,0.1,96,31.3,427.2,3.7,,,,,,,,,,,,,,,,,,,,0,0,0,0,14,135.7,9.7,1.10%,,,,60,32,497,15.5,9,98,4,,,,,,,,,,,,,,,,,,
268,12,Elijah Mitchell,KC,4,4,4,15,-,-,RB,80,10,,317,,252,239,253,265.3,,,,,,,59.6,200.8,1.6,0.1,35.9,7.2,40.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,12,Tyler Loop,BAL,2,2,2,-13,-,-,K,14,7,176,166,208,198,212,182,190.3,216  -32,,,,,,,,,,129.7,,,,27.4,32.5,47.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,12,Jalen Tolbert,DAL,2,4,2,53,1.4,56% (9/16),WR,96,10,,,,281,,279,280,,,,,,,0,0,0,0.1,99.2,35.7,422,3.6,,,,,,,,,,,,,,,,,,,,0,0,0,0,17,152,8.9,2.00%,,,,79,49,610,12.4,7,48,8,,,,,,,,,,,,,,,,,,
271,12,Noah Gray,KC,3,4,4,23,2.1,68% (11/16),TE,34,10,232,308,,240,,288,267,,,,,,,,,,0.1,47.3,30.1,307.9,2.8,,,,,,,,,,,,,,,,,,,,1,-4,0,0,17,73.3,4.3,1.30%,,,,49,40,437,10.9,5,35,6,,,,,,,,,,,,,,,,,,
272,12,Ty Johnson,BUF,2,3,4,60,2.5,62% (10/16),RB,81,7,,,,318,273,326,305.7,,,,,,,45.2,206,0.9,0.1,51.4,15.1,165.3,1.5,,,,,,,,,,,,,,,,,,,,41,213,1,0,17,73.7,4.3,8.20%,5.2,19,0,25,18,284,15.8,3,,,,,,,,,,,,,,,,,,,,
273,12,Trevor Etienne,CAR,3,4,2,-7,-,-,RB,82,14,,352,,260,199,296,276.8,,,,,,,48.3,192.8,1.5,0.4,38.7,10.8,87.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,12,Devin Singletary,NYG,3,4,2,10,-1.3,35% (5/14),RB,83,14,,,,257,231,308,265.3,,,,,,,52,236.7,1.5,0.4,39.3,9.3,63.5,0.1,,,,,,,,,,,,,,,,,,,,113,437,4,2,16,75.6,4.7,34.20%,3.9,43,2,24,21,119,5.7,0,,,,,,,,,,,,,,,,,,,,
275,12,Joshua Karty,LAR,3,4,1,38,0.2,56% (9/16),K,15,8,,,,212,269,260,247,280  +5,,,,,,,,,,122.6,,,,28,33.3,38.6,,,,,,,,,,,,,,,,,,,,,17,135,7.9,26.60%,,,,,,,,,,,29,34,85.3,58,0,10,9,4,6,32,36,,,,,,,
276,12,Darren Waller,MIA,3,4,5,-48,-,-,TE,35,12,188,203,199,185,235,216,204.3,202  -9,,,,,,,,,0.1,72.7,49,540.8,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,12,Brandin Cooks,NO,3,4,3,23,-1,18% (2/11),WR,97,11,,,,311,,319,315,,,,,,,1.7,1.8,0,0.1,75.3,28.5,325.1,2.4,,,,,,,,,,,,,,,,,,,,3,-3,0,0,10,69.6,7,2.20%,,,,54,26,259,10,3,29,3,,,,,,,,,,,,,,,,,,
278,12,Isaiah Davis,NYJ,2,5,4,-,0.8,50% (4/8),RB,84,9,,,,547,,471,509,,,,,,,30.8,152.1,0.9,0,24.5,4.9,35.6,0.1,,,,,,,,,,,,,,,,,,,,30,174,1,0,14,36.9,2.6,17.00%,5.8,20,1,12,9,75,8.3,1,,,,,,,,,,,,,,,,,,,,
279,12,Chicago Bears,CHI,3,4,4,12,0.7,43% (7/16),DST,17,5,,,,,,,279,,,,,,,,,,,100.8,,,,,,,40.4,13,10.2,17.4,2.2,0.5,385.9,"5,911.40",,,,,,,,,,,,,17,121,7.1,22.60%,,,,,,,,,,,,,,,,,,,,,,40,11,13,14,1,0,2
280,12,Will Reichard,MIN,2,5,3,29,2.6,66% (8/12),K,16,6,219,221,,196,258,264,231.6,261  -40,,,,,,,,,,125.1,,,,28,33.3,41.2,,,,,,,,,,,,,,,,,,,,,13,131,10.1,30.80%,,,,,,,,,,,24,30,80,58,0,5,6,5,8,38,38,,,,,,,
281,12,New England Patriots,NE,3,5,5,-16,-1.4,25% (4/16),DST,18,14,,,,,,,281,,,,,,,,,,,86.4,,,,,,,35.9,11.5,8,11.2,1.9,0,408.7,"5,649.30",,,,,,,,,,,,,17,63,3.7,66.90%,,,,,,,,,,,,,,,,,,,,,,28,7,5,9,1,0,0
282,12,Jaleel McLaughlin,DEN,2,5,3,-27,-0.5,40% (6/15),RB,85,12,,341,,184,,324,283,244  +58,,,,,,39.6,169.3,0.9,0.5,37.8,18.1,109.8,0.9,,,,,,,,,,,,,,,,,,,,113,496,1,1,16,73.2,4.6,0.80%,4.4,21,1,27,24,76,3.2,2,,,,,,,,,,,,,,,,,,,,
283,12,Tre Tucker,LV,3,5,2,52,0,31% (5/16),WR,98,8,,,,302,,287,294.5,,,,,,,5.6,31.6,0.3,0.1,82.3,28.4,359.4,2.1,,,,,,,,,,,,,,,,,,,,9,44,1,0,17,129.3,7.6,42.70%,,,,81,47,539,11.5,3,58,6,,,,,,,,,,,,,,,,,,
284,12,Anthony Richardson Sr.,IND,3,4,1,-88,-1.4,30% (4/13),QB,32,11,237,257,,230,,229,238.3,276  -27,68.5,38.9,661.4,3.6,3.2,17.4,146.4,1.4,1.2,58.4,,,,,,,,,,,,,,,126,264,47.7,"1,814",6.9,8,12,14,86,499,6,3,11,174.5,15.9,5.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,12,Dallas Cowboys,DAL,3,4,4,-13,0.5,43% (7/16),DST,19,10,,,,,,,285,,,,,,,,,,,102.6,,,,,,,47.6,11.2,9.5,16.5,2.3,0,414.7,"6,175.30",,,,,,,,,,,,,17,111,6.5,6.50%,,,,,,,,,,,,,,,,,,,,,,52,13,9,16,1,0,3
286,12,Antonio Gibson,NE,2,4,5,2,-0.9,31% (5/16),RB,86,14,278,,,298,,311,295.7,,,,,,,50.6,213.4,1,0,43.6,16.4,133.2,0.5,,,,,,,,,,,,,,,,,,,,120,538,1,0,17,80.4,4.7,1.40%,4.5,45,4,29,23,206,9,0,,,,,,,,,,,,,,,,,,,,
287,12,Elijah Moore,BUF,1,5,4,-,-1,31% (5/16),WR,99,7,276,,,300,,346,307.3,,,,,,,0,1.3,0,0,37.8,14.4,158.9,1.2,,,,,,,,,,,,,,,,,,,,1,1,0,0,17,120.9,7.1,0.60%,,,,102,61,538,8.8,1,44,5,,,,,,,,,,,,,,,,,,
288,12,Jalen Nailor,MIN,2,5,4,-,0.9,43% (7/16),WR,100,6,,,,341,,303,322,,,,,,,1.8,3.1,0,0.4,64.8,21,285.6,2.6,,,,,,,,,,,,,,,,,,,,3,-4,0,1,17,103,6.1,2.10%,,,,42,28,414,14.8,6,33,8,,,,,,,,,,,,,,,,,,
289,12,Emanuel Wilson,GB,1,5,4,10,1,43% (7/16),RB,87,5,,,,355,257,343,318.3,,,,,,,43,207.1,1.4,0.4,36.8,7.9,57.1,0.4,,,,,,,,,,,,,,,,,,,,103,502,4,0,17,85,5,9.90%,4.9,21,1,14,11,48,4.4,1,,,,,,,,,,,,,,,,,,,,
290,12,Arizona Cardinals,ARI,3,5,1,-14,0,50% (8/16),DST,20,8,,,,,,,290,,,,,,,,,,,99.7,,,,,,,43.2,12,9.2,14.8,2.1,1,392.1,"5,828.50",,,,,,,,,,,,,17,101,5.9,17.50%,,,,,,,,,,,,,,,,,,,,,,41,9,8,16,0,2,1
291,12,Jaxson Dart,NYG,2,5,4,-84,-,-,QB,33,14,210,225,,239,,239,228.3,254  -10,114,71.8,799.4,4.4,3.2,12.1,62.3,0.5,1.1,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,12,Troy Franklin,DEN,1,5,2,-10,-1.1,20% (3/15),WR,101,12,,331,,288,245,276,285,258  +15,,,,,,1.1,6.1,0,0.1,98.1,34.6,434.2,3.3,,,,,,,,,,,,,,,,,,,,2,8,0,0,16,67.1,4.2,48.80%,,,,53,28,263,9.4,2,30,5,,,,,,,,,,,,,,,,,,
293,12,Daniel Carlson,LV,2,4,2,13,1.5,56% (9/16),K,17,8,218,200,,162,254,252,217.2,220  -3,,,,,,,,,,120.5,,,,29.2,34.1,32.8,,,,,,,,,,,,,,,,,,,,,17,145,8.5,4.60%,,,,,,,,,,,34,40,85,54,0,10,11,6,7,23,25,,,,,,,
294,12,Jason Sanders,MIA,3,4,4,13,2.9,75% (12/16),K,18,12,206,250,192,104,,218,194,222  -15,,,,,,,,,,102.7,,,,23.7,26.7,31.5,,,,,,,,,,,,,,,,,,,,,17,166,9.8,5.50%,,,,,,,,,,,37,41,90.2,57,0,7,13,5,12,26,28,,,,,,,
295,12,Christian Watson,GB,2,4,3,20,-1.8,28% (4/14),WR,102,5,,336,,364,,320,340,,,,,,,3.3,14,0,0.4,70.1,19.9,355.3,2.3,,,,,,,,,,,,,,,,,,,,4,23,0,1,15,105.3,7,19.00%,,,,53,29,620,21.4,2,60,12,,,,,,,,,,,,,,,,,,
296,12,Ray-Ray McCloud III,NYG,3,4,3,-15,-0.2,50% (8/16),WR,103,14,,,,339,243,286,289.3,,,,,,,7.8,53,0.2,1.2,109.9,43.2,475.4,2.6,,,,,,,,,,,,,,,,,,,,10,79,0,2,17,140.5,8.3,1.10%,,,,87,62,686,11.1,1,60,8,,,,,,,,,,,,,,,,,,
297,12,Jordan James,SF,3,4,3,-33,-,-,RB,88,14,457,301,,334,,283,343.8,,,,,,,18.2,63,0.4,0,9.8,1,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,12,Parker Washington,JAC,3,4,2,-,0.7,40% (6/15),WR,104,8,,,,419,,322,370.5,,,,,,,0,5.7,0,0.1,43.6,17.6,186.9,1.2,,,,,,,,,,,,,,,,,,,,0,0,0,0,17,97,5.7,1.10%,,,,51,32,390,12.2,3,30,6,,,,,,,,,,,,,,,,,,
299,12,Tim Patrick,JAC,2,5,2,-,0.7,53% (8/15),WR,105,8,476,,,350,,475,433.7,,,,,,,0,0,0,0,23,8.6,104.1,0.7,,,,,,,,,,,,,,,,,,,,0,0,0,0,16,92.4,5.8,1.10%,,,,44,33,394,11.9,3,42,6,,,,,,,,,,,,,,,,,,
