RANK,TIERS,PLAYER,TEAM,UPSIDE,BUST,SOS SEASON,ECR VS. ADP,AVG_DIFF,PCT_OVER,POSITION,POS_RANK,BYE_WEEK,ESPN,Sleeper,CBS,NFL,RTSports,Fantrax,ADP_AVG,ADP_REALTIME,PASS_ATT,PASS_CMP,PASS_YDS,PASS_TDS,PASS_INTS,RUSH_ATT,RUSH_YDS,RUSH_TDS,FL,FPTS,REC,REC_YDS,REC_TDS,K_FG,K_FGA,K_XPT,DST_SACK,DST_INT,DST_FR,DST_FF,DST_TD,DST_SAFETY,DST_PA,DST_YDS_AGN,2024_PASS_CMP,2024_PASS_ATT,2024_PASS_PCT,2024_PASS_YDS,2024_PASS_YA,2024_PASS_TD,2024_PASS_INT,2024_PASS_SACKS,2024_RUSH_ATT,2024_RUSH_YDS,2024_RUSH_TD,2024_FL,2024_G,2024_FPTS,2024_FPTS_PER_G,2024_ROST,2024_RUSH_YA,2024_RUSH_LG,2024_RUSH_20PLUS,2024_REC_TGT,2024_REC,2024_REC_YDS,2024_REC_YR,2024_REC_TD,2024_REC_LG,2024_REC_20PLUS,2024_K_FG,2024_K_FGA,2024_K_FG_PCT,2024_K_FG_LG,2024_K_FG_1_19,2024_K_FG_20_29,2024_K_FG_30_39,2024_K_FG_40_49,2024_K_FG_50PLUS,2024_K_XPT,2024_K_XPA,2024_DST_SACK,2024_DST_INT,2024_DST_FR,2024_DST_FF,2024_DST_DEF_TD,2024_DST_SFTY,2024_DST_SPC_TD
53,5,Calvin Ridley,TEN,4,2,2,13,-0.4,37% (6/16),WR,25,10,62,72,67,65,56,60,63.7,66  -1,,,,,,5.6,33.4,0.3,0.9,215.3,71.4,"1,045.00",6,,,,,,,,,,,,,,,,,,,,8,55,1,1,17,199.2,11.7,60.80%,,,,120,64,"1,017",15.9,4,63,19,,,,,,,,,,,,,,,,,,
54,6,George Pickens,DAL,5,2,2,9,-1.2,30% (4/13),WR,26,10,69,61,62,76,64,62,65.7,62  +6,,,,,,1,6.2,0,0.9,209.1,69.6,"1,018.80",6.4,,,,,,,,,,,,,,,,,,,,2,-6,0,1,14,164.4,11.7,97.30%,,,,103,59,900,15.3,3,44,17,,,,,,,,,,,,,,,,,,
55,6,DJ Moore,CHI,4,3,3,-7,-0.2,31% (5/16),WR,27,5,55,51,52,44,52,44,49.7,50,,,,,,9.5,53.8,0.1,0.9,231.1,87.3,"1,009.50",6.4,,,,,,,,,,,,,,,,,,,,14,75,0,1,17,238.1,14,84.80%,,,,140,98,966,9.9,6,44,11,,,,,,,,,,,,,,,,,,
56,6,Tony Pollard,TEN,3,3,1,8,-1.5,40% (6/15),RB,21,10,63,70,59,79,53,67,65.2,58  +8,,,,,,251.4,"1,050.80",5.9,1,171.6,42.9,275,0.9,,,,,,,,,,,,,,,,,,,,260,"1,079",5,2,16,159.7,10,84.20%,4.2,41,6,57,41,238,5.8,0,,,,,,,,,,,,,,,,,,,,
57,6,D'Andre Swift,CHI,3,3,3,3,-1.2,31% (5/16),RB,22,5,53,66,48,55,47,68,56.2,56  -2,,,,,,237.6,963.2,6.1,1.1,166.6,36.6,283.2,1.2,,,,,,,,,,,,,,,,,,,,253,959,6,0,17,172.5,10.1,93.90%,3.8,56,5,52,42,386,9.2,0,,,,,,,,,,,,,,,,,,,,
58,6,David Montgomery,DET,2,4,3,-2,1.9,71% (10/14),RB,23,8,60,53,57,69,61,63,60.5,64  -6,,,,,,199.2,837.1,9,1,167.1,31.7,260.2,0.9,,,,,,,,,,,,,,,,,,,,185,775,12,1,14,185.7,13.3,94.70%,4.2,21,1,38,36,341,9.5,0,,,,,,,,,,,,,,,,,,,,
59,6,DeVonta Smith,PHI,4,1,3,-6,1.7,53% (7/13),WR,28,9,61,54,60,61,59,51,57.7,54  +1,,,,,,0.3,1.2,0,0.5,220.1,81.2,977.2,7,,,,,,,,,,,,,,,,,,,,1,1,0,0,13,199.4,15.3,95.80%,,,,89,68,833,12.3,8,49,14,,,,,,,,,,,,,,,,,,
60,6,Sam LaPorta,DET,3,3,3,-5,0.3,46% (7/15),TE,4,8,50,47,58,43,65,56,53.2,49  +3,,,,,,,,,0.4,119.5,69.9,785.3,7,,,,,,,,,,,,,,,,,,,,0,0,0,0,16,114.6,7.2,98.80%,,,,83,60,726,12.1,7,52,11,,,,,,,,,,,,,,,,,,
61,6,Isiah Pacheco,KC,4,2,4,-4,-3.7,14% (1/7),RB,24,10,64,56,66,58,55,66,60.8,55  +5,,,,,,207.7,857.2,6,1,149.7,34.1,234,1.1,,,,,,,,,,,,,,,,,,,,83,310,1,0,7,44.9,6.4,78.30%,3.7,34,1,16,12,79,6.6,0,,,,,,,,,,,,,,,,,,,,
62,6,RJ Harvey,DEN,5,2,3,-11,-,-,RB,25,12,74,64,55,66,49,57,60.8,59,,,,,,192.4,827.7,5.8,1.3,152,35.3,269.9,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,6,Zay Flowers,BAL,2,3,4,-2,-1.4,37% (6/16),WR,29,7,54,58,63,73,68,55,61.8,63  -2,,,,,,8.2,48.5,0.1,0.5,224.4,77,"1,044.60",6.4,,,,,,,,,,,,,,,,,,,,9,56,0,0,17,209.5,12.3,96.10%,,,,116,74,"1,059",14.3,4,53,19,,,,,,,,,,,,,,,,,,
64,6,Patrick Mahomes II,KC,3,2,1,-5,0.1,37% (6/16),QB,6,10,42,49,47,42,60,58,49.7,51  -2,601.1,407,"4,259.50",30.3,12.1,75.1,365.6,2.8,2.5,328.1,,,,,,,,,,,,,,,392,581,67.5,"3,928",6.8,26,11,36,58,307,2,0,16,292.9,18.3,99.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,6,Jaylen Waddle,MIA,5,2,3,7,-1.3,21% (3/14),WR,30,12,65,69,80,85,75,59,72.2,67  +5,,,,,,2.8,16.4,0.1,0.5,208.2,77.7,993.3,5,,,,,,,,,,,,,,,,,,,,4,12,0,0,16,149.6,9.4,94.90%,,,,83,58,744,12.8,2,63,12,,,,,,,,,,,,,,,,,,
